ticket_external_ref,author_email,body,created_at
J-0025,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-14T15:40:46
J-0026,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-21T15:40:46
J-0027,alex@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-22T15:40:46
J-0027,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-03T15:40:46
J-0028,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-18T15:40:46
J-0028,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-17T15:40:46
J-0029,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-05T15:40:46
J-0029,jordan@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-09-04T15:40:46
J-0029,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-09T15:40:46
J-0030,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-21T15:40:46
J-0030,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-16T15:40:46
J-0030,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-01T15:40:46
J-0031,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-11T15:40:46
J-0031,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-04T15:40:46
J-0032,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-28T15:40:46
J-0033,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-20T15:40:46
J-0034,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-12T15:40:46
J-0034,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-22T15:40:46
J-0034,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-06T15:40:46
J-0035,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-24T15:40:46
J-0035,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-30T15:40:46
J-0035,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-29T15:40:46
J-0036,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-14T15:40:46
J-0037,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-06T15:40:46
J-0037,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-09T15:40:46
J-0037,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-20T15:40:46
J-0038,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-16T15:40:46
J-0038,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-26T15:40:46
J-0039,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-21T15:40:46
J-0039,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-29T15:40:46
J-0039,taylor@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-09-08T15:40:46
J-0040,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-15T15:40:46
J-0040,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-05T15:40:46
J-0041,jordan@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-16T15:40:46
J-0041,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-14T15:40:46
J-0041,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-15T15:40:46
J-0042,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-09T15:40:46
J-0043,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-17T15:40:46
J-0043,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-16T15:40:46
J-0043,sam@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-28T15:40:46
J-0044,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-06T15:40:46
J-0045,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-23T15:40:46
J-0046,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-25T15:40:46
J-0046,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-03T15:40:46
J-0046,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-13T15:40:46
J-0047,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-20T15:40:46
J-0047,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-17T15:40:46
J-0048,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-05T15:40:46
J-0048,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-22T15:40:46
J-0049,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-28T15:40:46
J-0049,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-12T15:40:46
J-0049,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-17T15:40:46
J-0050,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-24T15:40:46
J-0051,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-09-07T15:40:46
J-0051,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-03T15:40:46
J-0052,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-08T15:40:46
J-0052,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-04T15:40:46
J-0053,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-24T15:40:46
J-0053,sam@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-13T15:40:46
J-0054,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-22T15:40:46
J-0054,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-21T15:40:46
J-0055,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-29T15:40:46
J-0055,devon@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-22T15:40:46
J-0056,alex@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-21T15:40:46
J-0056,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-16T15:40:46
J-0057,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-11T15:40:46
J-0057,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-02T15:40:46
J-0058,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-30T15:40:46
J-0059,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-31T15:40:46
J-0060,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-24T15:40:46
J-0061,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-16T15:40:46
J-0061,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-28T15:40:46
J-0062,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-10T15:40:46
J-0063,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-06T15:40:46
J-0063,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-04T15:40:46
J-0064,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-09T15:40:46
J-0064,sam@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-06T15:40:46
J-0065,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-18T15:40:46
J-0065,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-05T15:40:46
J-0065,alex@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-19T15:40:46
J-0066,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-16T15:40:46
J-0066,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-24T15:40:46
J-0066,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-27T15:40:46
J-0067,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-23T15:40:46
J-0068,jordan@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-29T15:40:46
J-0068,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-14T15:40:46
J-0068,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-20T15:40:46
J-0069,sam@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-06T15:40:46
J-0069,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-18T15:40:46
J-0070,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-01T15:40:46
J-0070,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-15T15:40:46
J-0070,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-04T15:40:46
J-0071,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-09-06T15:40:46
J-0072,sam@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-16T15:40:46
J-0072,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-22T15:40:46
J-0073,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-02T15:40:46
J-0074,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-02T15:40:46
J-0075,devon@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-13T15:40:46
J-0076,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-29T15:40:46
J-0076,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-18T15:40:46
J-0077,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-24T15:40:46
J-0077,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-18T15:40:46
J-0078,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-05T15:40:46
J-0079,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-09-03T15:40:46
J-0079,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-22T15:40:46
J-0080,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-25T15:40:46
J-0080,sam@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-21T15:40:46
J-0081,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-14T15:40:46
J-0082,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-21T15:40:46
J-0083,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-07T15:40:46
J-0083,jordan@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-23T15:40:46
J-0084,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-09T15:40:46
J-0084,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-26T15:40:46
J-0085,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-08T15:40:46
J-0085,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-10T15:40:46
J-0085,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-09-04T15:40:46
J-0086,devon@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-15T15:40:46
J-0086,devon@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-13T15:40:46
J-0086,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-23T15:40:46
J-0087,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-15T15:40:46
J-0087,sam@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-07T15:40:46
J-0088,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-30T15:40:46
J-0088,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-06T15:40:46
J-0089,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-04T15:40:46
J-0089,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-20T15:40:46
J-0090,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-18T15:40:46
J-0090,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-01T15:40:46
J-0090,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-26T15:40:46
J-0091,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-12T15:40:46
J-0091,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-01T15:40:46
J-0092,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-18T15:40:46
J-0093,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-31T15:40:46
J-0093,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-01T15:40:46
J-0093,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-29T15:40:46
J-0094,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-09-07T15:40:46
J-0094,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-21T15:40:46
J-0095,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-27T15:40:46
J-0095,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-21T15:40:46
J-0095,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-20T15:40:46
J-0096,taylor@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-22T15:40:46
J-0096,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-25T15:40:46
J-0097,devon@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-02T15:40:46
J-0097,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-23T15:40:46
J-0098,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-28T15:40:46
J-0098,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-22T15:40:46
J-0098,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-03T15:40:46
J-0099,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-12T15:40:46
J-0100,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-11T15:40:46
J-0101,taylor@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-21T15:40:46
J-0102,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-27T15:40:46
J-0102,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-19T15:40:46
J-0102,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-23T15:40:46
J-0103,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-24T15:40:46
J-0103,devon@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-08T15:40:46
J-0104,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-18T15:40:46
J-0104,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-27T15:40:46
J-0104,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-19T15:40:46
J-0105,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-28T15:40:46
J-0105,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-13T15:40:46
J-0106,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-10T15:40:46
J-0106,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-25T15:40:46
J-0107,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-18T15:40:46
J-0108,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-09T15:40:46
J-0108,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-13T15:40:46
J-0109,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-16T15:40:46
J-0109,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-14T15:40:46
J-0109,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-03T15:40:46
J-0110,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-10T15:40:46
J-0110,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-31T15:40:46
J-0111,sam@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-01T15:40:46
J-0111,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-31T15:40:46
J-0111,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-21T15:40:46
J-0112,alex@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-25T15:40:46
J-0112,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-26T15:40:46
J-0112,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-13T15:40:46
J-0113,sam@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-10T15:40:46
J-0114,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-15T15:40:46
J-0115,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-17T15:40:46
J-0115,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-22T15:40:46
J-0115,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-09T15:40:46
J-0116,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-03T15:40:46
J-0116,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-18T15:40:46
J-0117,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-30T15:40:46
J-0117,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-28T15:40:46
J-0117,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-07T15:40:46
J-0118,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-21T15:40:46
J-0118,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-29T15:40:46
J-0118,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-14T15:40:46
J-0119,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-31T15:40:46
J-0120,devon@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-31T15:40:46
J-0120,devon@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-09-07T15:40:46
J-0121,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-24T15:40:46
J-0122,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-23T15:40:46
J-0122,alex@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-06T15:40:46
J-0123,devon@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-17T15:40:46
J-0123,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-31T15:40:46
J-0123,devon@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-21T15:40:46
J-0124,alex@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-09T15:40:46
J-0125,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-21T15:40:46
J-0125,sam@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-04T15:40:46
J-0126,devon@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-10T15:40:46
J-0126,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-03T15:40:46
J-0126,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-05T15:40:46
J-0127,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-22T15:40:46
J-0127,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-23T15:40:46
J-0128,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-09-10T15:40:46
J-0129,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-17T15:40:46
J-0130,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-09T15:40:46
J-0130,jordan@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-28T15:40:46
J-0131,jordan@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-13T15:40:46
J-0132,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-18T15:40:46
J-0132,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-13T15:40:46
